Variedade,Temperatura,Tempo,Repetição,SS,VITAC
A,15°C,0,1,15.5,144
A,15°C,0,2,17.75,160.37
A,15°C,0,3,15.25,113.72
B,15°C,0,1,14.25,129.41
B,15°C,0,2,15.75,117.3
B,15°C,0,3,16,136.53
C,15°C,0,1,15.25,128.8
C,15°C,0,2,14.75,169.81
C,15°C,0,3,12,118.86
A,10°C,0,1,15.5,144
A,10°C,0,2,17.75,160.37
A,10°C,0,3,15.25,113.72
B,10°C,0,1,14.25,129.41
B,10°C,0,2,15.75,117.3
B,10°C,0,3,16,136.53
C,10°C,0,1,15.25,128.8
C,10°C,0,2,14.75,169.81
C,10°C,0,3,12,118.86
A,5°C,0,1,15.5,144
A,5°C,0,2,17.75,160.37
A,5°C,0,3,15.25,113.72
B,5°C,0,1,14.25,129.41
B,5°C,0,2,15.75,117.3
B,5°C,0,3,16,136.53
C,5°C,0,1,15.25,128.8
C,5°C,0,2,14.75,169.81
C,5°C,0,3,12,118.86
A,15°C,1,1,16,146.15
A,15°C,1,2,18,153.84
A,15°C,1,3,17.75,132
B,15°C,1,1,15.25,128
B,15°C,1,2,15,132
B,15°C,1,3,13,132
C,15°C,1,1,14.25,177.35
C,15°C,1,2,15,150.94
C,15°C,1,3,14.75,148.76
A,10°C,1,1,15,111.11
A,10°C,1,2,16.5,148.14
A,10°C,1,3,18,130.76
B,10°C,1,1,15.75,146.15
B,10°C,1,2,16,157.69
B,10°C,1,3,15.25,126.92
C,10°C,1,1,16.5,174.16
C,10°C,1,2,16,147.16
C,10°C,1,3,17.25,163.28
A,5°C,1,1,14.75,134.61
A,5°C,1,2,15,114.28
A,5°C,1,3,16.25,124
B,5°C,1,1,16.5,146.42
B,5°C,1,2,14.25,111.11
B,5°C,1,3,14.75,750
C,5°C,1,1,15.5,145.13
C,5°C,1,2,16,138.14
C,5°C,1,3,14,136.26
A,15°C,2,1,16.75,128.84
A,15°C,2,2,18.5,168
A,15°C,2,3,17,86
B,15°C,2,1,18.75,111.76
B,15°C,2,2,15.5,118.86
B,15°C,2,3,18,118.1
C,15°C,2,1,14.25,125.18
C,15°C,2,2,16.75,117.48
C,15°C,2,3,18.25,137.36
A,10°C,2,1,15.25,132.07
A,10°C,2,2,14.5,168
A,10°C,2,3,15.75,125
B,10°C,2,1,15.75,136
B,10°C,2,2,14.75,138.46
B,10°C,2,3,15.5,150.24
C,10°C,2,1,12.25,76.19
C,10°C,2,2,14.55,129.93
C,10°C,2,3,16.5,132.07
A,5°C,2,1,15.75,80
A,5°C,2,2,15,168
A,5°C,2,3,17,113.72
B,5°C,2,1,14.75,72
B,5°C,2,2,14.25,94.11
B,5°C,2,3,16.25,94.34
C,5°C,2,1,13.25,111.32
C,5°C,2,2,13.25,88.67
C,5°C,2,3,13,109.13
A,15°C,3,1,17.75,82.35
A,15°C,3,2,20.25,168
A,15°C,3,3,19.75,103.77
B,15°C,3,1,17,101.69
B,15°C,3,2,17.5,146.42
B,15°C,3,3,17.75,95.83
C,15°C,3,1,18.75,132.43
C,15°C,3,2,20,109.13
C,15°C,3,3,19.75,87.2
A,10°C,3,1,14.25,128
A,10°C,3,2,13.75,168
A,10°C,3,3,13,121.56
B,10°C,3,1,13.75,114
B,10°C,3,2,16,133.33
B,10°C,3,3,17.25,116.98
C,10°C,3,1,15.25,121.55
C,10°C,3,2,14.25,98.11
C,10°C,3,3,15.5,130.18
A,5°C,3,1,13.25,94.34
A,5°C,3,2,14.5,168
A,5°C,3,3,15.25,154
B,5°C,3,1,12.25,98.14
B,5°C,3,2,15,133.33
B,5°C,3,3,12.25,147.17
C,5°C,3,1,13.75,107.03
C,5°C,3,2,15.75,161.72
C,5°C,3,3,15.5,181.28
A,10°C,4,1,18,129.63
A,10°C,4,2,18,168
A,10°C,4,3,18,141.5
B,10°C,4,1,17.75,173.07
B,10°C,4,2,17.75,171.15
B,10°C,4,3,15.75,164.63
C,10°C,4,1,14,107.54
C,10°C,4,2,16.5,105.22
C,10°C,4,3,14.75,98.11
A,5°C,4,1,14.25,107.84
A,5°C,4,2,16.25,168
A,5°C,4,3,15.75,141.17
B,5°C,4,1,15.75,84.61
B,5°C,4,2,16,133.96
B,5°C,4,3,15.25,118.38
C,5°C,4,1,10.75,39.91
C,5°C,4,2,13.25,129.48
C,5°C,4,3,15.25,153.53
A,10°C,5,1,13.5,50
A,10°C,5,2,13,160.8
A,10°C,5,3,14.5,30.89
B,10°C,5,1,16,185.19
B,10°C,5,2,17,36.53
B,10°C,5,3,14.25,26.2
C,10°C,5,1,16,39.91
C,10°C,5,2,17,129.28
C,10°C,5,3,14.25,153.53
A,5°C,5,1,20.25,30.89
A,5°C,5,2,14.5,185.19
A,5°C,5,3,15.5,36.53
B,5°C,5,1,13,96.15
B,5°C,5,2,13.75,41.17
B,5°C,5,3,14,50
C,5°C,5,1,11,79.6
C,5°C,5,2,13,58.74
C,5°C,5,3,14,77.6
